H,B,S,V,R,C_hat,runtime,sat,alpha,d_H,d_B,d_S,d_V,d_R,runtime_safe,log_runtime,hard_runtime,local_kappa,local_log_kappa,local_trace,local_log_trace,local_rank,local_singular,local_lambda_min,local_lambda_max,local_log_det,local_effective_rank
0.5,0.9962962962962963,1.0,0.1355742296918767,0.7470828715279626,0.0386564680504464,0.000169038772583,True,3.0,0.5,0.0037037037037036535,0.0,0.8644257703081233,0.2529171284720374,0.000169038772583,-3.7720136694245396,1,28622313.00985604,7.456704741970463,4.1939852895878115e-05,-4.377373086801635,3,1,0.0,2.8622313009856042e-05,-39.33451711513802,2.07354695077409
0.5,0.9962962962962963,1.0,0.1369747899159664,0.7448970207921624,0.0391047373406254,9.703636169433594e-05,True,3.0,0.5,0.0037037037037036535,0.0,0.8630252100840337,0.25510297920783764,9.703636169433594e-05,-4.013065495382366,1,29664685.55840884,7.472239763876149,4.410275927926395e-05,-4.35553422829774,3,1,-3.581325987353469e-22,2.9664685558408842e-05,-39.284226142152406,2.0819840374173535
0.5,0.9462962962962964,1.0,0.1379551820728291,0.7434056871672555,0.0374400755653513,0.0001189708709716,True,3.0,0.5,0.05370370370370359,0.0,0.8620448179271709,0.2565943128327445,0.0001189708709716,-3.9245593589844874,1,94886749.46621166,7.97720557384839,0.0001474948577087688,-3.831223117810066,3,1,0.0,9.488674946621167e-05,-38.21423444562979,1.996962705813292
0.5,0.9703703703703704,1.0,0.1376750700280112,0.7599348594672278,0.0379547605114657,0.0001258850097656,True,3.0,0.5,0.02962962962962956,0.0,0.8623249299719888,0.24006514053277217,0.0001258850097656,-3.9000259820738603,1,55024326.55926007,7.74055474383625,9.229620196374392e-05,-4.034816165342598,3,1,-5.745388476811797e-22,5.502432655926007e-05,-38.635159529621475,2.0766134738057294
0.5,0.975925925925926,1.0,0.1373949579831933,0.7484471783986428,0.0383446828536744,9.393692016601562e-05,True,3.0,0.5,0.024074074074074026,0.0,0.8626050420168068,0.25155282160135717,9.393692016601562e-05,-4.027163682782012,1,37082768.42325104,7.569172160756252,6.414239171352346e-05,-4.192854843551667,3,1,0.0,3.7082768423251036e-05,-38.93658295765072,2.1335879704470258
0.5,0.9722222222222222,1.0,0.1392156862745098,0.7641437346372417,0.0383609863382573,0.0001122951507568,True,3.0,0.5,0.02777777777777779,0.0,0.8607843137254902,0.23585626536275828,0.0001122951507568,-3.949638997478829,1,64188059.57881293,7.807454253817256,0.00010393569061266139,-3.983235289703149,3,1,0.0,6.418805957881293e-05,-38.54329772289782,2.045260916585726
0.5,0.9574074074074074,1.0,0.138375350140056,0.7484471783986428,0.03788549930485,0.0001027584075927,True,3.0,0.5,0.042592592592592626,0.0,0.861624649859944,0.25155282160135717,0.0001027584075927,-3.988182634447165,1,63060468.21028802,7.799757197853066,0.00010670222933873821,-3.971826502659097,3,1,0.0,6.306046821028801e-05,-38.32424817466933,2.1099863752836923
0.5,0.9907407407407408,1.0,0.1386554621848739,0.7427484954246273,0.0394123475530006,0.000105857849121,True,3.0,0.5,0.00925925925925919,0.0,0.8613445378151261,0.2572515045753727,0.000105857849121,-3.975276934493351,1,26259846.861144364,7.419292205635529,4.4816064435794644e-05,-4.348566274408052,3,1,0.0,2.6259846861144362e-05,-39.18797071408265,2.2066552972736657
0.5,0.9814814814814816,1.0,0.138235294117647,0.7517482898356973,0.038725707784147,8.702278137207031e-05,True,3.0,0.5,0.01851851851851838,0.0,0.861764705882353,0.2482517101643027,8.702278137207031e-05,-4.060367040151111,0,21266572.502313484,7.327697521453548,3.869142373070658e-05,-4.4123852779993085,3,1,0.0,2.1266572502313483e-05,-39.45146991844224,2.19924366352383
0.5,0.9925925925925926,1.0,0.1369747899159664,0.7719808506106547,0.0383638924031324,0.0001478195190429,True,3.0,0.5,0.007407407407407418,0.0,0.8630252100840337,0.2280191493893453,0.0001478195190429,-3.8302682151095344,1,40359152.38416311,7.605942047444887,7.088932734031174e-05,-4.149419138466395,3,1,0.0,4.035915238416311e-05,-38.85386762965179,2.1256240992399653
0.5,0.9722222222222222,1.0,0.138515406162465,0.7695151906466517,0.0380521626042393,9.202957153320312e-05,True,3.0,0.5,0.02777777777777779,0.0,0.8614845938375351,0.23048480935334825,9.202957153320312e-05,-4.036072599935832,0,78486231.35720982,7.894793481768401,0.0001203932941828776,-3.919397698677523,3,1,0.0,7.848623135720982e-05,-38.43116154697184,1.994261369028224
0.5,0.9944444444444444,1.0,0.1380952380952381,0.7406359479093609,0.0394476645085538,0.0001170635223388,True,3.0,0.5,0.005555555555555647,0.0,0.861904761904762,0.25936405209063906,0.0001170635223388,-3.931578412484867,1,39544183.41697975,7.597082622819146,5.7719962053088216e-05,-4.238673955573087,3,1,0.0,3.954418341697975e-05,-39.00895433212241,2.038086195561618
0.5,0.998148148148148,1.0,0.1393557422969187,0.7625964961446422,0.0394581743288732,8.487701416015625e-05,True,3.0,0.5,0.0018518518518519933,0.0,0.8606442577030813,0.2374035038553578,8.487701416015625e-05,-4.071209906634711,0,43091881.55858016,7.634395467561192,5.7997506071621926e-05,-4.236590673476827,3,1,0.0,4.309188155858016e-05,-39.175588600587105,1.8938653080083792
0.5,0.9962962962962963,1.0,0.1373949579831933,0.7486187658263888,0.0391412050301846,8.20159912109375e-05,True,3.0,0.5,0.0037037037037036535,0.0,0.8626050420168068,0.25138123417361125,8.20159912109375e-05,-4.086101462036056,0,32862633.362521525,7.516702374779155,4.415630587465819e-05,-4.355007257086565,3,1,0.0,3.2862633362521526e-05,-39.376968708908564,1.932370494202868
0.5,0.9814814814814816,1.0,0.138375350140056,0.7406359479093609,0.0390124216670276,8.392333984375e-05,True,3.0,0.5,0.01851851851851838,0.0,0.861624649859944,0.25936405209063906,8.392333984375e-05,-4.076117241129455,0,34689972.87441279,7.540203972767899,6.758526657685676e-05,-4.170147962451489,3,1,0.0,3.468997287441279e-05,-38.870162172923436,2.1604947292553764
0.5,0.9814814814814816,1.0,0.1387955182072829,0.7491349434988966,0.0389407446342717,9.298324584960938e-05,True,3.0,0.5,0.01851851851851838,0.0,0.8612044817927171,0.25086505650110336,9.298324584960938e-05,-4.031595297581087,0,22942267.684921306,7.360636361630876,4.038206135352822e-05,-4.393811504959361,3,1,-2.585288865794316e-22,2.2942267684921306e-05,-39.39830779562777,2.188106695123131
0.5,0.9962962962962963,1.0,0.1408963585434173,0.7723967218959085,0.0396001984175073,8.702278137207031e-05,True,3.0,0.5,0.0037037037037036535,0.0,0.8591036414565827,0.22760327810409153,8.702278137207031e-05,-4.060367040151111,0,43143797.21744752,7.634918376099548,7.025735345721355e-05,-4.153308207607832,3,1,0.0,4.314379721744752e-05,-38.84536110092084,2.096642991057883
0.5,0.998148148148148,1.0,0.1394957983193277,0.7459011523720587,0.0398755324920636,8.392333984375e-05,True,3.0,0.5,0.0018518518518519933,0.0,0.8605042016806723,0.2540988476279413,8.392333984375e-05,-4.076117241129455,0,33464960.462082986,7.524590329210598,4.590960996392584e-05,-4.338096387411198,3,1,0.0,3.3464960462082984e-05,-39.302771113416405,1.9678260473208882
0.5,0.9592592592592591,1.0,0.1376750700280112,0.7538791195958524,0.037649712493221,9.775161743164062e-05,True,3.0,0.5,0.040740740740740855,0.0,0.8623249299719888,0.2461208804041476,9.775161743164062e-05,-4.009876047887851,1,57120383.80111835,7.756791124476091,9.530535935353557e-05,-4.020882672221138,3,1,-3.6256814758116346e-21,5.712038380111835e-05,-38.47389013856987,2.1026731725061394
0.5,0.9888888888888888,1.0,0.1378151260504201,0.7571454755018372,0.0387798996401964,0.0001099109649658,True,3.0,0.5,0.011111111111111183,0.0,0.8621848739495799,0.2428545244981628,0.0001099109649658,-3.958958979218018,1,21947272.19942259,7.3413805697714185,3.551690744449348e-05,-4.449564844242826,3,1,0.0,2.194727219942259e-05,-39.511315719081274,2.1694797799631056
0.5,0.9851851851851852,1.0,0.138515406162465,0.7562294909993963,0.0388512236820407,7.987022399902344e-05,True,3.0,0.5,0.014814814814814836,0.0,0.8614845938375351,0.2437705090006037,7.987022399902344e-05,-4.097615097570741,0,18862226.17674498,7.275592971193662,3.565363565020729e-05,-4.447896165768157,3,1,0.0,1.886222617674498e-05,-39.477452206323946,2.242063030747298
0.5,0.987037037037037,1.0,0.138375350140056,0.733889069371069,0.039385910402712,9.107589721679688e-05,True,3.0,0.5,0.012962962962962954,0.0,0.861624649859944,0.266110930628931,9.107589721679688e-05,-4.040596541695877,0,44564603.493301086,7.6489900565535205,7.864663687688228e-05,-4.104319838618922,3,1,0.0,4.4564603493301084e-05,-38.677053396959735,2.1390048238442816
0.5,0.9574074074074074,1.0,0.1376750700280112,0.7649247439033293,0.0373418571656731,9.703636169433594e-05,True,3.0,0.5,0.042592592592592626,0.0,0.8623249299719888,0.23507525609667068,9.703636169433594e-05,-4.013065495382366,1,79095856.67858207,7.898153739699439,0.0001241951164705274,-3.905895477406526,3,1,0.0,7.909585667858206e-05,-38.26768198364252,2.034018866004859
0.5,0.9685185185185186,1.0,0.1393557422969187,0.7649247439033293,0.038236367038464,8.487701416015625e-05,True,3.0,0.5,0.031481481481481444,0.0,0.8606442577030813,0.23507525609667068,8.487701416015625e-05,-4.071209906634711,0,72189739.9208691,7.858475483192495,0.00011464023803723576,-3.940662917059035,3,1,0.0,7.218973992086909e-05,-38.41963991082749,2.032386277403336
0.5,0.974074074074074,1.0,0.1361344537815126,0.7540583465851611,0.0377994967451002,7.700920104980469e-05,True,3.0,0.5,0.02592592592592602,0.0,0.8638655462184874,0.24594165341483887,7.700920104980469e-05,-4.113457382276484,0,36178230.01896404,7.5584473276568875,6.865560094408295e-05,-4.163324020784915,3,1,0.0,3.617823001896404e-05,-38.87261274293559,2.150608311729985
0.5,0.9944444444444444,1.0,0.138515406162465,0.7751353999896782,0.0387986966175371,8.20159912109375e-05,True,3.0,0.5,0.005555555555555647,0.0,0.8614845938375351,0.22486460001032182,8.20159912109375e-05,-4.086101462036056,0,41650455.12016313,7.619619761790472,7.069743473730488e-05,-4.150596338188035,3,1,-5.732558033086444e-21,4.1650455120163124e-05,-38.84836063641289,2.114716395120346
0.5,0.9814814814814816,1.0,0.1390756302521008,0.7586253033805297,0.038808766959245,7.796287536621094e-05,True,3.0,0.5,0.01851851851851838,0.0,0.8609243697478992,0.2413746966194703,7.796287536621094e-05,-4.1081121519473,0,32835076.337212656,7.516338043528597,5.3021491498736295e-05,-4.275548051502161,3,1,-6.362134370660065e-22,3.2835076337212654e-05,-39.14742335717077,2.110701344866326
0.5,0.962962962962963,1.0,0.1376750700280112,0.743570521726808,0.0380185358709054,0.0001161098480224,True,3.0,0.5,0.03703703703703698,0.0,0.8623249299719888,0.25642947827319196,0.0001161098480224,-3.93513094339318,1,72968564.88081591,7.863135810742615,0.00011339701043974993,-3.9453983910544745,3,1,0.0,7.296856488081591e-05,-38.36277643867017,2.0314427020275345
0.5,0.937037037037037,1.0,0.1364145658263305,0.7484471783986428,0.0365540079353626,8.034706115722656e-05,True,3.0,0.5,0.062962962962963,0.0,0.8635854341736695,0.25155282160135717,8.034706115722656e-05,-4.095030003736247,0,82308488.9604849,7.915444634153009,0.00020778733273281308,-3.682380929625826,4,1,1.424900855820827e-20,8.23084889604849e-05,-30.432857580787626,3.0528903589390683
0.5,0.9888888888888888,1.0,0.1376750700280112,0.7576983374508099,0.0387283038398239,8.702278137207031e-05,True,3.0,0.5,0.011111111111111183,0.0,0.8623249299719888,0.24230166254919006,8.702278137207031e-05,-4.060367040151111,0,26052767.340144843,7.4158538777687655,3.9202200697491966e-05,-4.4066895411882125,3,1,-4.7432099330845565e-22,2.6052767340144842e-05,-39.47993397033619,2.0779522157654995
0.5,0.9537037037037036,1.0,0.1376750700280112,0.7472526003290786,0.0375736249192466,7.605552673339844e-05,True,3.0,0.5,0.04629629629629639,0.0,0.8623249299719888,0.2527473996709214,7.605552673339844e-05,-4.118869221550405,0,84818600.63147502,7.9284911081526905,0.00012054105580719762,-3.918865005306116,3,1,-3.539999875846752e-21,8.481860063147502e-05,-38.349484414334235,1.9357040173934457
0.5,0.998148148148148,1.0,0.1389355742296918,0.7637550903380874,0.0393133634075562,9.989738464355467e-05,True,3.0,0.5,0.0018518518518519933,0.0,0.8610644257703082,0.23624490966191258,9.989738464355467e-05,-4.000445881641291,1,41497741.31496658,7.61802446955972,5.604657111217418e-05,-4.251450944323108,3,1,-4.762116263272543e-21,4.149774131496658e-05,-39.19396828664292,1.9048630164830749
0.5,0.9796296296296296,1.0,0.138235294117647,0.7571454755018372,0.0385339163377548,7.605552673339844e-05,True,3.0,0.5,0.020370370370370372,0.0,0.861764705882353,0.2428545244981628,7.605552673339844e-05,-4.118869221550405,0,35325695.73981057,7.548090736331523,5.611221383133978e-05,-4.250942588718654,3,1,0.0,3.532569573981057e-05,-39.1272802244279,2.084209080181499
0.5,0.9907407407407408,1.0,0.138235294117647,0.7521009064606041,0.0390831774271195,0.0001018047332763,True,3.0,0.5,0.00925925925925919,0.0,0.861764705882353,0.24789909353939588,0.0001018047332763,-3.992232029582849,1,18916945.24254201,7.2768510296844955,3.212496054863409e-05,-4.493157383480915,3,1,0.0,1.8916945242542008e-05,-39.54061248943162,2.243041291906791
0.5,0.9888888888888888,1.0,0.138235294117647,0.7591848405968928,0.0388530377163823,0.000105857849121,True,3.0,0.5,0.011111111111111183,0.0,0.861764705882353,0.24081515940310716,0.000105857849121,-3.975276934493351,1,24528075.880694494,7.389663498763116,4.0887264780109015e-05,-4.388411930685917,3,1,0.0,2.4528075880694492e-05,-39.41237551588178,2.1533594209679294
0.5,0.9851851851851852,1.0,0.1376750700280112,0.7472526003290786,0.0388139193010469,9.489059448242188e-05,True,3.0,0.5,0.014814814814814836,0.0,0.8623249299719888,0.2527473996709214,9.489059448242188e-05,-4.022776832533898,1,19243663.018642616,7.284287765808821,3.760786431156147e-05,-4.424721317195,3,1,-1.253919907684909e-21,1.9243663018642615e-05,-39.469884473690385,2.2194652218187056
0.5,0.9907407407407408,1.0,0.1397759103641456,0.7293850516433041,0.0400378424397349,8.082389831542969e-05,True,3.0,0.5,0.00925925925925919,0.0,0.8602240896358544,0.27061494835669586,8.082389831542969e-05,-4.092460206404504,0,58673506.564630136,7.768442051578019,0.00010232445102721608,-3.9900205724309803,3,1,0.0,5.867350656463013e-05,-38.42012767206491,2.111481085037806
0.5,0.9703703703703704,1.0,0.1392156862745098,0.7459011523720587,0.0386879808057355,7.700920104980469e-05,True,3.0,0.5,0.02962962962962956,0.0,0.8607843137254902,0.2540988476279413,7.700920104980469e-05,-4.113457382276484,0,56613620.38465822,7.752920936143579,9.314255535508029e-05,-4.030851846758991,3,1,0.0,5.661362038465822e-05,-38.59865958429712,2.072228979311546
0.5,0.962962962962963,1.0,0.1394957983193277,0.7529868381564234,0.0383144036944705,8.487701416015625e-05,True,3.0,0.5,0.03703703703703698,0.0,0.8605042016806723,0.24701316184357658,8.487701416015625e-05,-4.071209906634711,0,59900029.32883016,7.777427042283138,9.178805545640358e-05,-4.037213825906962,3,1,0.0,5.9900029328830155e-05,-38.54591784890542,2.041926052802024
0.5,0.9888888888888888,1.0,0.1396358543417367,0.7595592798617437,0.0392383336976913,9.083747863769533e-05,True,3.0,0.5,0.011111111111111183,0.0,0.8603641456582634,0.24044072013825635,9.083747863769533e-05,-4.041734928931967,0,27187727.26494256,7.434372920598991,4.160355900496382e-05,-4.380869505326137,3,1,0.0,2.718772726494256e-05,-39.42699614265666,2.0840281263440033
0.5,0.9925925925925926,1.0,0.1387955182072829,0.7387167357410352,0.0396175535390808,8.7738037109375e-05,True,3.0,0.5,0.007407407407407418,0.0,0.8612044817927171,0.26128326425896475,8.7738037109375e-05,-4.056812085934069,0,40696168.13825414,7.60955352960801,6.271418766649519e-05,-4.2026341918255925,3,1,-3.881351601221031e-21,4.0696168138254145e-05,-38.90786665250053,2.084606931340373
0.5,0.975925925925926,1.0,0.1399159663865546,0.7448970207921624,0.0391277023544409,0.0001022815704345,True,3.0,0.5,0.024074074074074026,0.0,0.8600840336134454,0.25510297920783764,0.0001022815704345,-3.9902026124231607,1,38182729.36532158,7.581866980636887,7.170352294549134e-05,-4.144459499946238,3,1,-2.9060321945698813e-21,3.818272936532158e-05,-38.78095041121844,2.1594705653993223
0.5,0.9833333333333332,1.0,0.1399159663865546,0.7768522630133731,0.0387156659084926,8.416175842285156e-05,True,3.0,0.5,0.01666666666666683,0.0,0.8600840336134454,0.22314773698662693,8.416175842285156e-05,-4.074885199219763,0,73030280.3979558,7.863502974054349,0.00010535111048077576,-3.9773608781154794,3,1,-8.184180424065141e-21,7.30302803979558e-05,-38.50454233660925,1.9557747787125415
0.5,0.9925925925925926,1.0,0.1413165266106442,0.7593719181594384,0.0398635841562499,7.605552673339844e-05,True,3.0,0.5,0.007407407407407418,0.0,0.8586834733893558,0.24062808184056161,7.605552673339844e-05,-4.118869221550405,0,30036804.924961966,7.477653748474738,4.4543989617533127e-05,-4.3512108778826075,3,1,-5.285932343165054e-22,3.0036804924961965e-05,-39.42133754574528,2.031128108741623
0.5,0.9833333333333332,1.0,0.1373949579831933,0.7586253033805297,0.0384121180544686,9.393692016601562e-05,True,3.0,0.5,0.01666666666666683,0.0,0.8626050420168068,0.2413746966194703,9.393692016601562e-05,-4.027163682782012,1,23575950.895797864,7.372469236711446,4.6257923611977265e-05,-4.3348138559965514,3,1,-2.1315875212764305e-21,2.3575950895797863e-05,-39.28870126974947,2.185876050768107
0.5,0.9574074074074074,1.0,0.1392156862745098,0.7612584789225944,0.0378383225358758,0.0001289844512939,True,3.0,0.5,0.042592592592592626,0.0,0.8607843137254902,0.23874152107740565,0.0001289844512939,-3.8894626395011693,1,74738749.96970285,7.8735458356664365,0.00011197932406542301,-3.9508621544624476,3,1,0.0,7.473874996970285e-05,-38.37783244016277,2.001984741574444
0.5,0.9592592592592591,1.0,0.138375350140056,0.761830131937954,0.037670441943442,7.414817810058594e-05,True,3.0,0.5,0.040740740740740855,0.0,0.861624649859944,0.238169868062046,7.414817810058594e-05,-4.129899515580749,0,77710085.41695128,7.890477391914542,0.00011972659230527783,-3.92180937471479,3,1,0.0,7.771008541695129e-05,-38.311602017090934,2.0208117022950978
0.5,0.9888888888888888,1.0,0.1366946778711484,0.7528091469857684,0.0385597747065329,6.914138793945312e-05,True,3.0,0.5,0.011111111111111183,0.0,0.8633053221288516,0.2471908530142316,6.914138793945312e-05,-4.16026190670863,0,18446589.89220821,7.2659161161046,3.0492068153660625e-05,-4.515813103954506,3,1,0.0,1.844658989220821e-05,-39.76313026529733,2.160601656979395
0.5,0.9925925925925926,1.0,0.1393557422969187,0.7362021544776943,0.0398350735410705,8.082389831542969e-05,True,3.0,0.5,0.007407407407407418,0.0,0.8606442577030813,0.2637978455223057,8.082389831542969e-05,-4.092460206404504,0,40085591.1377652,7.6029883033073515,6.752025948217528e-05,-4.170565890941744,3,1,0.0,4.0085591137765196e-05,-38.79918708977143,2.1444366438732203
0.5,0.9925925925925926,1.0,0.1389355742296918,0.752277589524935,0.0393506217727562,7.581710815429688e-05,True,3.0,0.5,0.007407407407407418,0.0,0.8610644257703082,0.24772241047506505,7.581710815429688e-05,-4.120232784623154,0,23953484.794250492,7.379368722387389,3.581342510065044e-05,-4.445954130106982,3,1,-1.494782427565587e-21,2.3953484794250492e-05,-39.46860870705135,2.1220730109051504
0.5,0.9925925925925926,1.0,0.1387955182072829,0.7537001505772641,0.0392790656714178,0.0001161098480224,True,3.0,0.5,0.007407407407407418,0.0,0.8612044817927171,0.24629984942273586,0.0001161098480224,-3.93513094339318,1,22607416.55061784,7.354250955641641,3.427400812027968e-05,-4.46503509203999,3,1,-1.9186199412543604e-21,2.260741655061784e-05,-39.5208524840299,2.136766058349813
0.5,0.9648148148148148,1.0,0.1386554621848739,0.7491349434988966,0.0382408595936085,7.295608520507812e-05,True,3.0,0.5,0.03518518518518521,0.0,0.8613445378151261,0.25086505650110336,7.295608520507812e-05,-4.136938478126006,0,61592982.98239468,7.789531244773739,9.849592037579977e-05,-4.00658175285932,3,1,-4.191413604503917e-22,6.159298298239468e-05,-38.43957800037158,2.0763146439757723
0.5,0.9722222222222222,1.0,0.1390756302521008,0.76068947023478,0.0383975777977483,6.985664367675781e-05,True,3.0,0.5,0.02777777777777779,0.0,0.8609243697478992,0.23931052976522005,6.985664367675781e-05,-4.155792284253477,0,50433853.29838417,7.702722159445195,8.335155106029898e-05,-4.079086308913987,3,1,-1.3378286191900824e-22,5.0433853298384164e-05,-38.71252419638703,2.0817185557923756
0.5,0.9814814814814816,1.0,0.1396358543417367,0.7453980843034114,0.0392603870459594,8.296966552734375e-05,True,3.0,0.5,0.01851851851851838,0.0,0.8603641456582634,0.25460191569658863,8.296966552734375e-05,-4.081080660661005,0,27497345.371576503,7.439290784310685,4.66496585714402e-05,-4.331151521194747,3,1,-1.8894819888235096e-21,2.7497345371576503e-05,-39.29202018673571,2.1440723077983255
0.5,0.9666666666666668,1.0,0.1403361344537815,0.7314671856970485,0.0391743683879413,8.988380432128906e-05,True,3.0,0.5,0.033333333333333215,0.0,0.8596638655462185,0.2685328143029515,8.988380432128906e-05,-4.046318554401793,0,111802086.02283947,8.048449910652757,0.0001552892432569267,-3.808858623612267,3,1,-9.697126421982774e-22,0.00011180208602283947,-38.16985467368924,1.8845320517804305
