y_bin,alpha_bin,median_log_rt,mean_log_rt,sat_prob,count
"(0.19, 0.195]",4.1,,,,0
"(0.19, 0.195]",4.2,-3.0867331632120525,-3.103804376097233,0.8421052631578947,19
"(0.19, 0.195]",4.26,-2.921869683233256,-2.985615653806695,0.464,125
"(0.19, 0.195]",4.4,-3.0037232270411285,-3.0159199557473926,0.17307692307692307,52
"(0.19, 0.195]",4.6,,,,0
"(0.19, 0.195]",5.0,,,,0
"(0.195, 0.2]",3.0,,,,0
"(0.195, 0.2]",3.4,,,,0
"(0.195, 0.2]",3.8,,,,0
"(0.195, 0.2]",4.0,,,,0
"(0.195, 0.2]",4.1,,,,0
"(0.195, 0.2]",4.2,,,,0
"(0.195, 0.2]",4.26,-2.5982563419246256,-2.5982563419246256,0.0,1
"(0.195, 0.2]",4.4,-2.9441415255674928,-2.9720763408634685,0.23076923076923078,143
"(0.195, 0.2]",4.6,-2.8319650340266724,-2.8319650340266724,0.0,2
"(0.195, 0.2]",5.0,,,,0
"(0.2, 0.205]",3.0,,,,0
"(0.2, 0.205]",3.4,,,,0
"(0.2, 0.205]",3.8,,,,0
"(0.2, 0.205]",4.0,,,,0
"(0.2, 0.205]",4.1,,,,0
"(0.2, 0.205]",4.2,,,,0
"(0.2, 0.205]",4.26,,,,0
"(0.2, 0.205]",4.4,-2.982476712686256,-2.9447322205820052,0.4,5
"(0.2, 0.205]",4.6,-3.065513762289241,-3.0665453402191445,0.032520325203252036,123
"(0.2, 0.205]",5.0,,,,0
"(0.205, 0.21]",3.0,,,,0
"(0.205, 0.21]",3.4,,,,0
"(0.205, 0.21]",3.8,,,,0
"(0.205, 0.21]",4.0,,,,0
"(0.205, 0.21]",4.1,,,,0
"(0.205, 0.21]",4.2,,,,0
"(0.205, 0.21]",4.26,,,,0
"(0.205, 0.21]",4.4,,,,0
"(0.205, 0.21]",4.6,-2.9857709976238174,-2.9689740132723355,0.04,75
"(0.205, 0.21]",5.0,,,,0
"(0.21, 0.215]",3.0,,,,0
"(0.21, 0.215]",3.4,,,,0
"(0.21, 0.215]",3.8,,,,0
"(0.21, 0.215]",4.0,,,,0
"(0.21, 0.215]",4.1,,,,0
"(0.21, 0.215]",4.2,,,,0
"(0.21, 0.215]",4.26,,,,0
"(0.21, 0.215]",4.4,,,,0
"(0.21, 0.215]",4.6,,,,0
"(0.21, 0.215]",5.0,-3.2740120968198116,-3.2740120968198116,0.0,2
"(0.215, 0.22]",3.0,,,,0
"(0.215, 0.22]",3.4,,,,0
"(0.215, 0.22]",3.8,,,,0
"(0.215, 0.22]",4.0,,,,0
"(0.215, 0.22]",4.1,,,,0
"(0.215, 0.22]",4.2,,,,0
"(0.215, 0.22]",4.26,,,,0
"(0.215, 0.22]",4.4,,,,0
"(0.215, 0.22]",4.6,,,,0
