alpha,V_ridge,median_log_rt,count
3.0,0.1400560224089636,-4.081080655426629,29
3.4,0.1582633053221288,-3.8760821996710217,10
3.8,0.1724089635854341,-3.62702470817016,133
4.0,0.1812324929971988,-3.262824421472318,91
4.1,0.1853641456582633,-3.148100232887349,56
4.2,0.1875350140056022,-2.9569914515792455,150
4.26,0.1907563025210084,-2.9215239757474674,152
4.4,0.1956582633053221,-2.955767693148832,157
4.6,0.207422969187675,-2.8471222695212086,15
5.0,0.2211484593837535,-3.1742689970349254,70
