H,B,S,V,R,C_hat,runtime,sat,alpha
0.4,0.9791666666666666,1.0,0.18151260504201683,0.804379424610821,0.0393999387321228,0.0007469654083251953,True,4.0
0.4,0.9819444444444444,1.0,0.18095238095238098,0.7671484741340687,0.04021964021786568,0.0008111000061035156,True,4.0
0.4,0.9847222222222223,1.0,0.18053221288515406,0.771954906104499,0.0401306118281923,0.000579833984375,True,4.0
0.4,0.9597222222222223,1.0,0.18053221288515406,0.7885843691646167,0.038748137128184826,0.00010395050048828125,True,4.0
0.4,0.9805555555555555,1.0,0.1803921568627451,0.7517702991833087,0.04038989268223234,0.0009632110595703125,False,4.0
0.4,0.9652777777777778,1.0,0.18053221288515406,0.7859299220758735,0.03903036408805017,0.00033593177795410156,True,4.0
0.4,0.9944444444444445,1.0,0.18123249299719887,0.7662541154476608,0.04081533877900413,0.0006821155548095703,True,4.0
0.4,0.9666666666666667,1.0,0.18137254901960784,0.7624164500077868,0.03979236616655216,0.0003590583801269531,True,4.0
0.4,0.9652777777777778,1.0,0.18053221288515406,0.782057050316582,0.039115187181077274,0.0003211498260498047,True,4.0
0.4,0.9875,1.0,0.17829131652661062,0.7703315154878356,0.03978072535128329,0.00013017654418945312,True,4.0
0.4,0.9805555555555555,0.9979166666666667,0.17941176470588235,0.7796680762358369,0.03945830185654725,0.00021195411682128906,True,4.0
0.4,0.9819444444444444,1.0,0.17913165266106443,0.7701013683323302,0.03974853389230608,0.0008630752563476562,True,4.0
0.4,0.9791666666666666,1.0,0.18221288515406162,0.773245894687997,0.040246372676819506,0.002892017364501953,False,4.0
0.4,0.9513888888888888,1.0,0.18137254901960784,0.7663655523442452,0.03907590522779735,0.0008821487426757812,True,4.0
0.4,0.975,1.0,0.18333333333333332,0.8007431531079248,0.039705830160920184,0.002142190933227539,False,4.0
0.4,0.9861111111111112,1.0,0.17717086834733892,0.7724227614357958,0.03942855397141104,0.00019311904907226562,True,4.0
0.4,0.9986111111111111,1.0,0.18137254901960784,0.7778152922313326,0.040751285679118926,0.0005459785461425781,True,4.0
0.4,0.9638888888888889,1.0,0.17801120448179272,0.7698716570863746,0.03877863704645639,0.0006647109985351562,True,4.0
